X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1STDOB,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0,Cluster,T_ADV,T_HON,T_STUDY,T_ADV_hat,T_HON_hat
3.0,0.0,3.0,0.0,3.5,0.8304,5.0,10.0,0.0,0.0,4.0,199502.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0.635950877789071,0.6481653634264533
0.0,0.0,3.0,0.0,4.0,-0.2956,3.0,3.0,0.0,0.0,3.0,199511.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.4032385742689623,0.42915826745042357
6.0,4.0,3.0,0.0,3.5,1.2997,7.0,6.0,0.0,0.0,4.0,199506.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,1,1,0,0.7680255979364512,0.7352565086443099
1.0,0.0,2.0,0.0,3.0,0.7106,3.0,5.0,0.0,0.0,4.0,199504.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.41907277817338623,0.5137574247867535
4.0,0.0,3.0,1.0,2.5,-0.1208,2.0,4.0,0.0,0.0,4.0,199409.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0.19927618595153423,0.23820027460058482
1.0,0.0,2.0,0.0,3.5,0.3732,7.0,7.0,0.0,0.0,4.0,199410.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0.5892681846434011,0.6251820171956088
5.0,2.0,2.0,0.0,4.0,0.2348,2.0,4.0,0.0,0.0,2.0,199501.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0,0,0.5384673834809104,0.5000431664108115
0.0,15.0,2.0,1.0,3.5,0.5539,5.0,5.0,0.0,0.0,4.0,199506.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,1,1,0.6441046780706778,0.6149693087130942
8.0,0.0,3.0,1.0,4.0,1.631,7.0,13.0,0.0,0.0,4.0,199502.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0.8426953845814638,0.7874764467742774
3.0,16.0,3.0,0.0,4.0,0.2554,4.0,11.0,0.0,0.0,3.0,199408.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0.6433682641009671,0.6281790372283637
0.0,0.0,3.0,0.0,4.0,1.2745,7.0,4.0,0.0,0.0,4.0,199411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0.7078657494030307,0.7190741706159423
7.0,10.0,3.0,1.0,3.0,0.3026,,,,,,199506.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,0.450620058275084,0.47821603203755525
1.0,4.0,3.0,1.0,2.5,-0.2202,3.0,2.0,0.0,0.0,2.0,199411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,1,1,0.15302810729190822,0.22411133539530528
