STU_ID,SCH_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,C1GETAHEAD,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X3TXSATCOMP
10001,-5,3.5,0.8304,5,10,0,0,4,1,8,199502,-5,3.0,0.0,3,0,3.5,3.5,3.6,-5
10002,-5,4.0,-0.2956,3,3,0,0,3,2,8,199511,-5,0.0,0.0,3,0,4.0,4.0,2.9,-5
10003,-5,3.5,1.2997,7,6,0,0,4,2,3,199506,-5,6.0,4.0,3,0,2.5,3.0,2.7,-5
10004,-5,3.5,-0.1427,4,5,0,0,2,2,8,199505,-5,5.0,10.5,-6,0,4.0,4.0,-6.0,-5
10005,-5,3.5,1.1405,4,9,0,0,4,1,8,199505,-5,5.0,0.5,-6,0,3.5,3.5,-6.0,-5
10006,-5,3.0,0.7106,3,5,0,0,4,2,8,199504,-5,1.0,0.0,2,0,3.0,4.0,2.6,-5
10007,-5,2.5,-0.1208,2,4,0,0,4,2,8,199409,-5,4.0,0.0,3,1,2.5,2.5,1.2,-5
10008,-5,3.5,0.3732,7,7,0,0,4,1,8,199410,-5,1.0,0.0,2,0,3.5,4.0,3.3,-5
10009,-5,4.0,0.2348,2,4,0,0,2,1,8,199501,-5,5.0,2.0,2,0,3.5,3.5,2.4,-5
10010,-5,3.5,1.2569,3,4,0,0,3,2,8,199503,-5,6.0,0.0,-6,0,3.5,3.5,-6.0,-5
10011,-5,3.5,0.5539,5,5,0,0,4,1,8,199506,-5,0.0,15.0,2,1,3.0,3.5,2.0,-5
10012,-5,4.0,1.631,7,13,0,0,4,2,8,199502,-5,8.0,0.0,3,1,4.0,4.0,3.7,-5
10013,-5,3.5,1.5328,7,13,0,0,4,1,8,199509,-5,5.0,11.0,-8,1,3.5,3.5,-8.0,-5
10014,-5,-8.0,-1.7601,2,2,0,0,4,2,3,199203,-5,-8.0,-8.0,-6,0,-8.0,-8.0,-6.0,-5
10015,-5,4.0,0.2554,4,11,0,0,3,2,8,199408,-5,3.0,16.0,3,0,4.0,4.0,3.9,-5
10016,-5,3.5,1.2165,3,3,0,0,4,2,8,199505,-5,1.0,0.0,-8,1,3.5,3.5,-8.0,-5
