STU_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X1PAREDU_label,X1SEX_label,X1RACE_label,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0
10001,3.5,0.8304,5.0,10.0,0.0,0.0,4.0,1.0,8.0,199502.0,3.0,0.0,3.0,0.0,3.5,3.5,3.6,Bachelor,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10002,4.0,-0.2956,3.0,3.0,0.0,0.0,3.0,2.0,8.0,199511.0,0.0,0.0,3.0,0.0,4.0,4.0,2.9,Certificate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10003,3.5,1.2997,7.0,6.0,0.0,0.0,4.0,2.0,3.0,199506.0,6.0,4.0,3.0,0.0,2.5,3.0,2.7,Graduate degree,Female,Black,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10004,3.5,-0.1427,4.0,5.0,0.0,0.0,2.0,2.0,8.0,199505.0,5.0,10.5,,0.0,4.0,4.0,,Some college/Associate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10005,3.5,1.1405,4.0,9.0,0.0,0.0,4.0,1.0,8.0,199505.0,5.0,0.5,,0.0,3.5,3.5,,Some college/Associate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10006,3.0,0.7106,3.0,5.0,0.0,0.0,4.0,2.0,8.0,199504.0,1.0,0.0,2.0,0.0,3.0,4.0,2.6,Certificate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10007,2.5,-0.1208,2.0,4.0,0.0,0.0,4.0,2.0,8.0,199409.0,4.0,0.0,3.0,1.0,2.5,2.5,1.2,HS diploma,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10008,3.5,0.3732,7.0,7.0,0.0,0.0,4.0,1.0,8.0,199410.0,1.0,0.0,2.0,0.0,3.5,4.0,3.3,Graduate degree,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10009,4.0,0.2348,2.0,4.0,0.0,0.0,2.0,1.0,8.0,199501.0,5.0,2.0,2.0,0.0,3.5,3.5,2.4,HS diploma,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10010,3.5,1.2569,3.0,4.0,0.0,0.0,3.0,2.0,8.0,199503.0,6.0,0.0,,0.0,3.5,3.5,,Certificate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10011,3.5,0.5539,5.0,5.0,0.0,0.0,4.0,1.0,8.0,199506.0,0.0,15.0,2.0,1.0,3.0,3.5,2.0,Bachelor,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10012,4.0,1.631,7.0,13.0,0.0,0.0,4.0,2.0,8.0,199502.0,8.0,0.0,3.0,1.0,4.0,4.0,3.7,Graduate degree,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10013,3.5,1.5328,7.0,13.0,0.0,0.0,4.0,1.0,8.0,199509.0,5.0,11.0,,1.0,3.5,3.5,,Graduate degree,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10014,,-1.7601,2.0,2.0,0.0,0.0,4.0,2.0,3.0,199203.0,,,,0.0,,,,HS diploma,Female,Black,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
